date,AAPL,AMZN,GOOGL,JPM,MSFT,NVDA,PFE,XOM
2013-02-11,,,,,,,,
2013-02-12,,,,,,,,
2013-02-13,,,,,,,,
2013-02-14,,,,,,,,
2013-02-15,,,,,,,,
2013-02-19,,,,,,,,
2013-02-20,,,,,,,,
2013-02-21,,,,,,,,
2013-02-22,,,,,,,,
2013-02-25,,,,,,,,
2013-02-26,,,,,,,,
2013-02-27,,,,,,,,
2013-02-28,,,,,,,,
2013-03-01,,,,,,,,
2013-03-04,,,,,,,,
2013-03-05,,,,,,,,
2013-03-06,,,,,,,,
2013-03-07,,,,,,,,
2013-03-08,,,,,,,,
2013-03-11,,,,,,,,
2013-03-12,,,,,,,,
2013-03-13,,,,,,,,
2013-03-14,,,,,,,,
2013-03-15,,,,,,,,
2013-03-18,,,,,,,,
2013-03-19,,,,,,,,
2013-03-20,,,,,,,,
2013-03-21,,,,,,,,
2013-03-22,,,,,,,,
2013-03-25,0.015690242664972733,0.015372370036290283,0.0088112005162961,0.012529296227837711,0.006908647087488039,0.010914977046175852,0.008042849622556976,0.006522481008605383
2013-03-26,0.015568101649719501,0.015325319331414719,0.008773597265759298,0.012537028551035945,0.006618774483774821,0.010796326662353495,0.00831800827295916,0.00685051802117841
2013-03-27,0.015310723119394718,0.015674855075891184,0.009085701010405973,0.012809652474987773,0.006750446318276115,0.010940281787466543,0.008203495937600728,0.006891320382171661
2013-03-28,0.015732271708619246,0.013693061348084533,0.009317189358243527,0.012754572471057315,0.006841489520737532,0.011162713535279487,0.008261428565722519,0.0069701142373113905
2013-04-01,0.016620508468505494,0.014083707337314516,0.00938136528324583,0.012662733495117665,0.0068418847309295915,0.011550209035404843,0.008278967232127675,0.007063404113455082
2013-04-02,0.01650655542745669,0.01387032042413073,0.009679735417231475,0.012744910883320094,0.006917766410024081,0.011694345051582025,0.008460438402394455,0.0070673177478509435
2013-04-03,0.016557137333550662,0.013757487758796046,0.00928717835225853,0.013604669832757689,0.007121730090483704,0.011635228648509511,0.008247705428224323,0.006952536198271802
2013-04-04,0.016092980898312202,0.013597550917206382,0.00904628080667378,0.013568532757837008,0.007002791388010343,0.011538678687564148,0.00816636836823177,0.006919194952200454
2013-04-05,0.016156612536138374,0.013804786123430812,0.009432897723507907,0.013615363302080125,0.006457455002696633,0.011906126269490143,0.008072575594139786,0.0070562421927078305
2013-04-08,0.01607666044724747,0.014066181689385787,0.009539375261906563,0.013626180459543993,0.006327446429737737,0.011407607541049492,0.008051018365218762,0.006991388916056109
2013-04-09,0.01579868842193153,0.013628151735380652,0.00937644021484979,0.012811713305187041,0.00841686158956889,0.011292587631634689,0.00696315969831465,0.006253960552372351
2013-04-10,0.016052782271944177,0.013845258782270706,0.00985492438661328,0.012952836648883609,0.009152066633511218,0.011587631904050367,0.008309670122861748,0.006031941353957319
